relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,suggested_wikidata_type,score,confidence,query_used,method,review_status
DERIVED_FROM,Application,Material extracted or derived from source organism,1,P12571,derived from base unit,the base unit(s) that this derived unit is derived from,http://wikiba.se/ontology#WikibaseItem,0.575,low,derived from,local_catalog_similarity,pending_review
DERIVED_FROM,Application,Material extracted or derived from source organism,2,P5191,derived from lexeme,most direct lexeme(s) this one has developed from,http://wikiba.se/ontology#WikibaseLexeme,0.563,low,derived from,local_catalog_similarity,pending_review
DERIVED_FROM,Application,Material extracted or derived from source organism,3,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.552,low,derived from,local_catalog_similarity,pending_review
DERIVES_MATERIAL,Application,Source organism used to derive material,1,P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),http://wikiba.se/ontology#WikibaseItem,0.532,low,derives material,local_catalog_similarity,pending_review
DERIVES_MATERIAL,Application,Source organism used to derive material,2,P2647,source of material,"place the material used was mined, quarried, found, or produced",http://wikiba.se/ontology#WikibaseItem,0.480,low,Source organism used to derive material,local_catalog_similarity,pending_review
DERIVES_MATERIAL,Application,Source organism used to derive material,3,P10672,raw material processed,"raw or intermediate material, or a natural resource converted or consumed by a factory or industrial process, to manufacture a product, or to deliver energy (not to be confused with P186 that is used with products)",http://wikiba.se/ontology#WikibaseItem,0.414,low,derives material,local_catalog_similarity,pending_review
DYED_BY,Application,Dye used to dye object,1,P1028,donated by,person or organization who donated the object,http://wikiba.se/ontology#WikibaseItem,0.545,low,dyed by,local_catalog_similarity,pending_review
DYED_BY,Application,Dye used to dye object,2,P2567,amended by,document is amended by specified other document,http://wikiba.se/ontology#WikibaseItem,0.537,low,dyed by,local_catalog_similarity,pending_review
DYED_BY,Application,Dye used to dye object,3,P8004,ordered by,subject that ordered the act,http://wikiba.se/ontology#WikibaseItem,0.537,low,dyed by,local_catalog_similarity,pending_review
DYED_WITH,Application,Object dyed with dye or pigment,1,P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data",http://wikiba.se/ontology#WikibaseItem,0.487,low,dyed with,local_catalog_similarity,pending_review
DYED_WITH,Application,Object dyed with dye or pigment,2,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.482,low,dyed with,local_catalog_similarity,pending_review
DYED_WITH,Application,Object dyed with dye or pigment,3,P5009,complies with,the product or work complies with a certain norm or passes a test,http://wikiba.se/ontology#WikibaseItem,0.441,low,dyed with,local_catalog_similarity,pending_review
PRODUCED_IN,Application,Material produced or manufactured in location,1,P10695,introduced in,work that introduced this concept or feature,http://wikiba.se/ontology#WikibaseItem,0.639,low,produced in,local_catalog_similarity,pending_review
PRODUCED_IN,Application,Material produced or manufactured in location,2,P2849,produced by,links a class of biological features (such as a biochemical compound) with another class of biological entities known to produce it,http://wikiba.se/ontology#WikibaseItem,0.598,low,produced in,local_catalog_similarity,pending_review
PRODUCED_IN,Application,Material produced or manufactured in location,3,P4733,produced sound,"item for the sound generated by the subject, for instance the cry of an animal",http://wikiba.se/ontology#WikibaseItem,0.593,low,produced in,local_catalog_similarity,pending_review
PRODUCES_MATERIAL,Application,Location produces this material,1,P2647,source of material,"place the material used was mined, quarried, found, or produced",http://wikiba.se/ontology#WikibaseItem,0.521,low,produces material,local_catalog_similarity,pending_review
PRODUCES_MATERIAL,Application,Location produces this material,2,P1056,product or material produced,"material or product, including services, produced or provided by an organization, industry, facility, or process",http://wikiba.se/ontology#WikibaseItem,0.507,low,produces material,local_catalog_similarity,pending_review
PRODUCES_MATERIAL,Application,Location produces this material,3,P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),http://wikiba.se/ontology#WikibaseItem,0.475,low,produces material,local_catalog_similarity,pending_review
ANALYZES,Attribution,Citation provides analysis of entity,1,P826,tonality,key of a musical composition,http://wikiba.se/ontology#WikibaseItem,0.356,low,Citation provides analysis of entity,local_catalog_similarity,pending_review
ANALYZES,Attribution,Citation provides analysis of entity,2,P13391,data analysis method,"methods used in the main item for inspecting, cleansing, transforming, and modeling data with the goal of discovering useful information",http://wikiba.se/ontology#WikibaseItem,0.350,low,Citation provides analysis of entity,local_catalog_similarity,pending_review
ANALYZES,Attribution,Citation provides analysis of entity,3,P66,ancestral home,place of origin for ancestors of subject,http://wikiba.se/ontology#WikibaseItem,0.324,low,Citation provides analysis of entity,local_catalog_similarity,pending_review
ATTRIBUTED_TO,Attribution,Citation attributed to author,1,P8824,attraction to,sexual attraction or arousal arising from an entity,http://wikiba.se/ontology#WikibaseItem,0.483,low,attributed to,local_catalog_similarity,pending_review
