place_type_token,row_count,geonames_signal_count,geonames_signal_present,canonical_type_id,canonical_type_label,distinction_root_type_id,distinction_root_type_label,mapping_rule,needs_review,review_bucket,quality_star,quality_star_reason,is_fully_triangulated,wikidata_match_qid,wikidata_match_label,wikidata_match_description,wikidata_type_qids,wikidata_type_labels,wikidata_geo_score,wikidata_geo_matches,wikidata_label_match_strength,wikidata_geo_pids_present,wikidata_geo_pid_count,wikidata_time_pids_present,wikidata_time_pid_count,wikidata_periodo_ids,wikidata_start_time_values,wikidata_end_time_values,wikidata_error
architecturalcomplex,246,26,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
tower-defensive,185,3,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
centuriation,144,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q1230314,centuriation,Roman methoid of land measurement,Q1799072,method,0,none,3,,0,,0,,,,
deme-attic,110,20,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
archive-repository,77,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q2061727,archive repository,,Q9158768,storage,0,none,0,,0,,0,,,,
production,77,14,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q64190570,Production Library Audio Recordings,series in the National Archives and Records Administration's holdings,Q2668072,collection,0,none,2,P276,1,,0,,,,
false toponym,63,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
garden-hortus,56,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
tower-single,39,1,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
tribus,36,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q484861,Tribuswinkel,locality in Baden District,Q11183787,Ortschaft,1,district,0,P131|P17|P625,3,,0,,,,
