artifact_id,artifact_type,path,status,canonicality,owner_role,used_by_agent_roles,task_tags,when_to_use,inputs,outputs,mutation_scope,gates,dependencies,example_invocation_or_query,validation_command,source_of_truth_ref,last_validated_at
csv_action_structure_wikidata_mapping_csv,registry,CSV/action_structure_wikidata_mapping.csv,active,canonical,Platform,SCA;SFA;Pi,federation,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open CSV/action_structure_wikidata_mapping.csv,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
csv_kko_chrystallum_crosswalk_csv,registry,CSV/kko_chrystallum_crosswalk.csv,active,canonical,Platform,SCA;SFA;Pi,kbpedia,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open CSV/kko_chrystallum_crosswalk.csv,manual_review,md/Architecture/ADR-003-KBpedia-Role-and-Boundaries.md,2026-02-18
csv_project_p_values_canonical_csv,registry,CSV/project_p_values_canonical.csv,active,canonical,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open CSV/project_p_values_canonical.csv,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
csv_registry_project_artifact_registry_csv,registry,CSV/registry/project_artifact_registry.csv,active,canonical,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open CSV/registry/project_artifact_registry.csv,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
csv_registry_project_artifact_registry_review_queue_csv,registry,CSV/registry/project_artifact_registry_review_queue.csv,active,canonical,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open CSV/registry/project_artifact_registry_review_queue.csv,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
facets_biographic_sfa_ontology_methodology_md,architecture_doc,Facets/BIOGRAPHIC_SFA_ONTOLOGY_METHODOLOGY.md,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/BIOGRAPHIC_SFA_ONTOLOGY_METHODOLOGY.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_canonical_relationship_types_md,architecture_doc,Facets/CANONICAL_RELATIONSHIP_TYPES.md,active,canonical,Platform,SCA;SFA;Pi,agent_routing;relationships,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/CANONICAL_RELATIONSHIP_TYPES.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_communication_sfa_ontology_methodology_md,architecture_doc,Facets/COMMUNICATION_SFA_ONTOLOGY_METHODOLOGY.md,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/COMMUNICATION_SFA_ONTOLOGY_METHODOLOGY.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_facets_consolidation_2026-02-12_md,architecture_doc,Facets/FACETS_CONSOLIDATION_2026-02-12.md,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/FACETS_CONSOLIDATION_2026-02-12.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_military_sfa_ontology_methodology_md,architecture_doc,Facets/MILITARY_SFA_ONTOLOGY_METHODOLOGY.md,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/MILITARY_SFA_ONTOLOGY_METHODOLOGY.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_scripts_period_facet_tagger_py,script,Facets/Scripts/period_facet_tagger.py,deprecated,compatible_wrapper,Platform,SCA;SFA;Pi,temporal;agent_routing,Use as supporting project artifact.,CLI args + files + env,Generated artifacts and/or graph mutations,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,python Facets/Scripts/period_facet_tagger.py,python Facets/Scripts/period_facet_tagger.py --help,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_facet_assessment_-_future_md,architecture_doc,Facets/facet assessment - future.md,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/facet assessment - future.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_facet_federation_matrix_json,registry,Facets/facet_federation_matrix.json,active,canonical,Platform,SCA;SFA;Pi,federation;agent_routing,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/facet_federation_matrix.json,python -m json.tool Facets/facet_federation_matrix.json,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_facet_node_schema_proposal_md,architecture_doc,Facets/facet_node_schema_proposal.md,draft,canonical,Platform,SCA;SFA;Pi,schema;agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/facet_node_schema_proposal.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_facet_registry_master_csv,registry,Facets/facet_registry_master.csv,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/facet_registry_master.csv,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_facet_registry_master_json,registry,Facets/facet_registry_master.json,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/facet_registry_master.json,python -m json.tool Facets/facet_registry_master.json,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_lcc_fast_seed_mappings_legacy_json,registry,Facets/lcc_fast_seed_mappings_legacy.json,active,canonical,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/lcc_fast_seed_mappings_legacy.json,python -m json.tool Facets/lcc_fast_seed_mappings_legacy.json,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_periods_with_facets_json,registry,Facets/periods_with_facets.json,active,canonical,Platform,SCA;SFA;Pi,temporal;agent_routing,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/periods_with_facets.json,python -m json.tool Facets/periods_with_facets.json,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
facets_star-pattern-claims_md,architecture_doc,Facets/star-pattern-claims.md,active,canonical,Platform,SCA;SFA;Pi,claims;agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Facets/star-pattern-claims.md,manual_review,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
json_kbpedia_proposals_kko_map_smoke_20260218_b_kko_mapping_proposal_json,registry,JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.json,draft,canonical,Platform,SCA;SFA;Pi,kbpedia,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.json,python -m json.tool JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.json,md/Architecture/ADR-003-KBpedia-Role-and-Boundaries.md,2026-02-18
json_kbpedia_proposals_kko_map_smoke_20260218_b_kko_mapping_proposal_md,registry,JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.md,draft,canonical,Platform,SCA;SFA;Pi,kbpedia,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.md,manual_review,md/Architecture/ADR-003-KBpedia-Role-and-Boundaries.md,2026-02-18
json_kbpedia_proposals_kko_map_smoke_20260218_kko_mapping_proposal_json,registry,JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.json,draft,canonical,Platform,SCA;SFA;Pi,kbpedia,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.json,python -m json.tool JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.json,md/Architecture/ADR-003-KBpedia-Role-and-Boundaries.md,2026-02-18
json_kbpedia_proposals_kko_map_smoke_20260218_kko_mapping_proposal_md,registry,JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.md,draft,canonical,Platform,SCA;SFA;Pi,kbpedia,Use as supporting project artifact.,Curated tabular/json rows,Lookup keys for routing/alignment,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.md,manual_review,md/Architecture/ADR-003-KBpedia-Role-and-Boundaries.md,2026-02-18
json_policy_claim_confidence_policy_v1_json,policy,JSON/policy/claim_confidence_policy_v1.json,active,canonical,Pi,Pi;SCA;SFA,claims;policy,Use for deterministic ordered decision-table evaluation.,Policy JSON payload,Rule outcomes and gate flags,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open JSON/policy/claim_confidence_policy_v1.json,python -m json.tool JSON/policy/claim_confidence_policy_v1.json,md/Architecture/ADR-006-Claim-Confidence-Decision-Model.md,2026-02-18
key_files_2-12-26_chrystallum_architecture_-_consolidated_md,architecture_doc,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,active,canonical,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
