SECTION,TYPE,QID,LABEL,DEWEY,LCC,LCSH_ID,RATIONALE
discipline,discipline,Q2515460,constitutional history,342,JN,sh85031326,"Directly traces the evolution of Roman Republican institutions, magistracies, and constitutional arrangements as expressions of political power."
discipline,discipline,Q11206,constitutional law,342,K3154,sh85031329,"Covers the formal structures of Republican governance — consular authority, senatorial supremacy, and the distribution of sovereign power."
discipline,discipline,Q191600,civil and political rights,323,JC571,sh85026371,Citizenship as a political status (civitas) was the foundational category determining participation in Roman Republican governance.
discipline,discipline,Q159385,geopolitics,320.12,JC319,sh85054192,"The Republic's expansion, provincial governance, and interstate relations with Carthage, Greece, and the East are core political phenomena."
discipline,discipline,Q47398,economic history,,,sh85040817,"Included only insofar as fiscal policy, grain supply (annona), and land redistribution debates (Gracchan reforms) were instruments of political contestation."
discipline,discipline,Q770723,auxiliary science of history,907.2,,sh85010480,"Provides methodological tools (epigraphy, numismatics as political propaganda) for reconstructing Republican political history."
discipline,discipline,Q171251,administrative law,342,K3400-K3431,sh85000913,"Provincial administration and magisterial imperium represent political control mechanisms, making administrative law politically relevant here."
lcc,lcc,,Political theory — General and comparative,,JC,,"Covers theories of sovereignty, republicanism, and political authority directly applicable to the Roman Republic's governmental model."
lcc,lcc,,Geopolitics,,JC319,,"Encompasses Roman territorial expansion, hegemony over Italy, and imperial projection as political phenomena."
lcc,lcc,,Civil and political rights,,JC571,,Political citizenship (civitas Romana) and its gradual extension were central political events of the Republican period.
lcc,lcc,,Political institutions — Europe,,JN,,Houses scholarship on Roman Republican constitutional arrangements and their European institutional legacy.
lcc,lcc,,History of Italy — Rome (Ancient),,DG,,"The primary LCC location for historical and political narrative of the Roman Republic, including senatorial politics and civil wars."
lcc,lcc,,Law — General,,K,,"Included selectively where law functions as a political weapon — e.g., quaestiones perpetuae and proscription legislation."
lcc,lcc,,Constitutional history and law — Ancient,,K3154,,Directly relevant to the formal constitutional arrangements of the Roman Republic including the cursus honorum and tribunicia potestas.
lcsh,lcsh,,"Rome — History — Republic, 510–30 B.C.",,,sh85115114,The canonical LCSH heading precisely delimiting the political history of the Roman Republic as a discrete governmental era.
lcsh,lcsh,,Constitutional history,,,sh85031326,"Covers the historical development of Republican constitutional structures including consuls, Senate, tribunes, and popular assemblies."
lcsh,lcsh,,Constitutional law,,,sh85031329,"Formal legal-political framework of Republican magistracies, vetoes, and the lex as an instrument of political sovereignty."
lcsh,lcsh,,Civil and political rights,,,sh85026371,"Citizenship extension (Social War, Latin rights) was a defining political conflict of the late Republic."
lcsh,lcsh,,Geopolitics,,,sh85054192,"Roman Republican foreign policy, provincial creation, and interstate dominance are geopolitical expressions of political power."
lcsh,lcsh,,Diplomatic history,,,sh99005617,"Treaties, alliances (foedera), and Roman diplomatic supremacy were political instruments of the Republic's power system."
lcsh,lcsh,,"History, Military",,,sh00005863,"Included only where military command (imperium) and triumphs functioned as political power resources, not for operational military history per se."
lcsh,lcsh,,History,,,sh99005024,General historical heading anchoring the Republican period's political narrative within the broader Roman historical record.
lcsh,lcsh,,Colonies — History,,,sh2002012516,Roman colonization was a deliberate political tool for controlling territory and extending citizen communities.
lcsh,lcsh,,Historical geography,,,sh00006030,"The political map of Republican Rome — provincial boundaries, allied territories, and voting districts (tribus) — is essential political geography."
entity,entity,Q17167,Roman Republic,,,,The primary subject entity — an aristocratic republic representing a distinct form of government and historical political period.
entity,entity,Q130614,Roman Senate,,,,"The dominant political institution of the Republic, controlling foreign policy, finance, and provincial governance."
entity,entity,Q1114821,Citizens' assemblies of the Roman Republic,,,,The comitia and concilium plebis were the sovereign legislative and electoral bodies expressing popular political will.
entity,entity,Q842606,Roman emperor,,,,Relevant as the institutional endpoint whose emergence marks the political collapse of the Republican system.
entity,entity,Q1747689,Ancient Rome,,,,The encompassing political civilisation within which the Republican form of government operated and evolved.
entity,entity,Q220,Rome,,,,"The seat of Republican political institutions — Senate, Forum Romanum, and all central magistracies were located here."
entity,entity,Q1238338,Caesar's Civil War,,,,The defining political crisis that terminated the Republican constitution and demonstrated the failure of its power-sharing mechanisms.
entity,entity,Q2429397,Ancient Carthage,,,,"Rome's primary political and military rival, whose defeat structured Roman Republican imperialism and provincial expansion."
entity,entity,Q4350094,Deposition of Romulus Augustulus,,,,"Marks the formal end of the Western Roman political tradition descended from the Republic, relevant as a terminal political boundary."
entity,entity,Q6343,Carthage,,,,The city whose political destruction (146 BCE) marked Rome's unchallenged political hegemony in the Mediterranean.
entity,entity,Q1524,Athens,,,,Politically significant as a model for Republican constitutional thought and as a subject of Roman political subordination after 146 BCE.
entity,entity,Q23725,Byzantium,,,,Relevant as a Greek polis under Republican political control and later as the site of imperial political continuity.

BIBLIOGRAPHY,TITLE,AUTHORS,SOURCE,URI,IA_URL,TOC_URL,PUBLISHER,YEAR
constitutional history,The Roman Republic,Michael H. Crawford,OpenSyllabus,https://openlibrary.org/works/OL2367331W,https://archive.org/details/romanrepublic0000craw,https://catdir.loc.gov/catdir/toc/81020047.html,Harvard University Press,1981
constitutional history,Fall of the Roman Republic,Plutarch,OpenSyllabus,https://openlibrary.org/works/OL2521179W,,,P. F. Collier & Son,1963-01-01
constitutional history,The Cambridge Companion to the Roman Republic,Harriet I. Flower,OpenSyllabus,https://openlibrary.org/works/OL17943462W,https://archive.org/details/cambridgecompani0000unse_a6s6,https://catdir.loc.gov/catdir/toc/2013049901.html,Cambridge University Press,2014
constitutional history,Companion to the Roman Republic,Robert Morstein-Marx,OpenSyllabus,https://openlibrary.org/works/OL16327282W,,,zabzab,1841
constitutional history,The Last Generation of the Roman Republic,Erich S. Gruen,OpenSyllabus,https://openlibrary.org/works/OL2724295W,https://archive.org/details/lastgenerationof0000grue,https://catdir.loc.gov/catdir/toc/72089244.html,University of California Press,2023
constitutional history,The Fall of the Roman Republic and Related Essays,P. A. Brunt,OpenSyllabus,https://openlibrary.org/works/OL4283757W,https://archive.org/details/fallromanrepubli00brun,https://catdir.loc.gov/catdir/toc/87022039.html,Clarendon Press,1988
constitutional history,The Constitution of the Roman Republic,A. W. Lintott,OpenSyllabus,https://openlibrary.org/works/OL1927823W,https://archive.org/details/constitutionofro0000lint_r1i1,https://catdir.loc.gov/catdir/toc/98030456.html,Clarendon Press,1999
constitutional history,Social Conflicts in the Roman Republic,P. A. Brunt,OpenSyllabus,https://openlibrary.org/works/OL4283761W,https://archive.org/details/socialconflictsi00brun,https://catdir.loc.gov/catdir/toc/72599286.html,Chatto and Windus,1971
constitutional history,The Fall of the Roman Republic,"David Shotter, D. C. A. Shotter",OpenSyllabus,https://openlibrary.org/works/OL25133328W,,,Taylor & Francis Group,2005
constitutional history,Cicero and the End of the Roman Republic,Thomas E. J. Wiedemann,OpenSyllabus,https://openlibrary.org/works/OL4283167W,,https://catdir.loc.gov/catdir/toc/gb94098415.html,Bristol Classical Press,1994
constitutional history,Roman Republics,Harriet I. Flower,OpenSyllabus,https://openlibrary.org/works/OL3245311W,https://archive.org/details/romanrepublics00flow,https://catdir.loc.gov/catdir/toc/2009004551.html,Princeton University Press,2011
constitutional history,The Magistrates of the Roman Republic,T. Robert S. Broughton,OpenSyllabus,https://openlibrary.org/works/OL4484666W,https://archive.org/details/magistratesofrom0001brou,https://catdir.loc.gov/catdir/toc/51006071.html,Published for the American Philological Association by the Press of Case Western Reserve University,1968
constitutional history,A Companion to the Archaeology of the Roman Republic,Jane DeRose Evans,OpenSyllabus,https://openlibrary.org/works/OL21509504W,,,"Wiley & Sons, Limited, John",2013
constitutional history,Intellectual Life in the Late Roman Republic,Elizabeth Rawson,OpenSyllabus,https://openlibrary.org/works/OL4481267W,,https://catdir.loc.gov/catdir/toc/85009819.html,Johns Hopkins University Press,1985
constitutional history,"The End of the Roman Republic, 146 to 44 BC",C. E. W. Steel,OpenSyllabus,https://galaxy.opensyllabus.org/#!search/works/Roman%20Republic,,,,
constitutional history,Festivals and Ceremonies of the Roman Republic,H. H. Scullard,OpenSyllabus,https://openlibrary.org/works/OL1833539W,https://archive.org/details/festivalsceremon0000scul,https://catdir.loc.gov/catdir/toc/80070447.html,Thames and Hudson,1981
constitutional history,Mass Oratory and Political Power in the Late Roman Republic,Robert Morstein-Marx,OpenSyllabus,https://openlibrary.org/works/OL3914141W,https://archive.org/details/massoratorypolit00robe,https://catdir.loc.gov/catdir/toc/2003053220.html,Cambridge University Press,2004
constitutional history,The Roman Republic in Political Thought,Fergus Millar,OpenSyllabus,https://openlibrary.org/works/OL2751282W,,https://catdir.loc.gov/catdir/toc/2001008177.html,University Press of New England,2002
constitutional history,The Crisis of the Roman Republic,Robin Seager,OpenSyllabus,https://openlibrary.org/works/OL18528012W,https://archive.org/details/crisisofromanrep0000robi,,Heffer,"Jul 05, 1969"
constitutional history,Roman Colonization Under the Republic,Edward Togo Salmon,OpenSyllabus,https://openlibrary.org/works/OL6096249W,https://archive.org/details/romancolonizatio0000salm,https://catdir.loc.gov/catdir/toc/72087009.html,Cornell University Press,1970
constitutional history,Roman Freedmen During the Late Republic,Susan Treggiari,OpenSyllabus,https://openlibrary.org/works/OL4451014W,,https://catdir.loc.gov/catdir/toc/2001266323.html,Clarendon Press,1969-01-01
constitutional history,Roman Art From the Republic to Constantine,Richard Brilliant,OpenSyllabus,https://openlibrary.org/works/OL16444501W,https://archive.org/details/romanartfromrepu0000bril,https://catdir.loc.gov/catdir/toc/74001527.html,Phaidon,1974
