property_id,primary_facet,secondary_facets,reasoning,confidence
P830,SCIENTIFIC,,"Encyclopedia of Life - biological taxonomy",0.85
P493,SCIENTIFIC,,"ICD-9 medical classification",0.90
P494,SCIENTIFIC,,"ICD-10 medical classification",0.90
P498,ECONOMIC,,"ISO currency codes - financial standards",0.90
P503,TECHNOLOGICAL,,"ISO standards - technical specifications",0.80
P505,ECONOMIC,SOCIAL,"Sports general manager - team management",0.75
P506,LINGUISTIC,,"ISO 15924 script codes - writing systems",0.90
P507,GEOGRAPHIC,POLITICAL,"Swedish county codes - administrative geography",0.85
P508,INTELLECTUAL,,"Library subject thesaurus - bibliographic classification",0.85
P509,BIOGRAPHIC,DEMOGRAPHIC,"Cause of death - biographical vital statistics",0.90
P514,SCIENTIFIC,GEOGRAPHIC,"Stratigraphic interleaving - geology",0.85
P516,TECHNOLOGICAL,,"Power source - engineering and energy",0.80
P518,INTELLECTUAL,,"Qualifier scope - knowledge organization",0.70
P521,GEOGRAPHIC,TECHNOLOGICAL,"Transport destinations - aviation/rail geography",0.80
P523,SCIENTIFIC,ENVIRONMENTAL,"Geological time start - geochronology",0.90
P524,SCIENTIFIC,ENVIRONMENTAL,"Geological time end - geochronology",0.90
P525,GEOGRAPHIC,POLITICAL,"Swedish municipality codes - administrative geography",0.85
P527,INTELLECTUAL,,"Part-whole relationships - knowledge organization",0.75
P529,GEOGRAPHIC,TECHNOLOGICAL,"Airport runway - aviation infrastructure",0.80
P532,GEOGRAPHIC,ECONOMIC,"Ship port registration - maritime commerce",0.80
P533,MILITARY,,"Military target - warfare operations",0.90
P534,SCIENTIFIC,,"Mineral streak color - mineralogy",0.85
P536,SOCIAL,,"Tennis player ID - sports identification",0.75
P537,SCIENTIFIC,,"Crystal twinning - crystallography",0.85
P538,SCIENTIFIC,,"Mineral fracture - mineralogy",0.85
P539,CULTURAL,INTELLECTUAL,"Museum database ID - cultural heritage",0.85
P542,POLITICAL,CULTURAL,"Official opening ceremony - political and cultural events",0.75
P543,SOCIAL,CULTURAL,"Olympic oath - ceremonial sports events",0.75
P545,SOCIAL,CULTURAL,"Olympic torch - ceremonial sports events",0.75
P546,TECHNOLOGICAL,,"Spacecraft docking - space technology",0.85
P554,SOCIAL,,"Website username - online identity",0.70
P555,SOCIAL,,"Tennis doubles record - sports statistics",0.70
P557,SCIENTIFIC,,"DiseasesDB - medical database",0.85
P559,GEOGRAPHIC,,"Terminus location - linear feature endpoint",0.80
P560,GEOGRAPHIC,,"Direction - spatial orientation",0.75
P563,SCIENTIFIC,,"ICD-O oncology - medical classification",0.90
P564,SOCIAL,,"Tennis singles record - sports statistics",0.70
P565,SCIENTIFIC,,"Crystal habit - crystallography",0.85
P566,SCIENTIFIC,,"Basionym - botanical nomenclature",0.85
P567,SCIENTIFIC,GEOGRAPHIC,"Stratigraphic underlies - geology",0.85
P568,SCIENTIFIC,GEOGRAPHIC,"Stratigraphic overlies - geology",0.85
P571,CULTURAL,"POLITICAL,ECONOMIC","Inception date - founding of entities",0.75
P574,SCIENTIFIC,,"Taxon publication year - biological nomenclature",0.85
P575,SCIENTIFIC,CULTURAL,"Discovery/invention date - history of science",0.80
P576,CULTURAL,"POLITICAL,ECONOMIC","Dissolution date - end of entities",0.75
P578,TECHNOLOGICAL,,"Sandbox property - technical testing",0.50
P579,SCIENTIFIC,,"IMA mineral status - mineralogy classification",0.85
P580,BIOGRAPHIC,"POLITICAL,CULTURAL","Start time - temporal bounds for statements",0.75
P582,BIOGRAPHIC,"POLITICAL,CULTURAL","End time - temporal bounds for statements",0.75
P585,CULTURAL,,"Point in time - temporal documentation",0.70
P587,TECHNOLOGICAL,,"MMSI maritime identifier - maritime communication",0.85
P588,TECHNOLOGICAL,,"Coolant - engineering systems",0.75
P589,SCIENTIFIC,,"Crystal point group - crystallography",0.85
P591,SCIENTIFIC,,"EC enzyme number - biochemistry",0.90
P592,SCIENTIFIC,,"ChEMBL bioactive molecules - pharmacology",0.90
P593,SCIENTIFIC,,"HomoloGene - comparative genomics",0.90
P594,SCIENTIFIC,,"Ensembl gene ID - genomics",0.95
P595,SCIENTIFIC,,"Pharmacology ligand - pharmacology",0.90
P597,SOCIAL,,"WTA player ID - sports identification",0.75
P599,SOCIAL,,"ITF player ID - sports identification",0.75
P600,TECHNOLOGICAL,,"Wine AppDB - software compatibility",0.70
P604,SCIENTIFIC,,"MedlinePlus - medical information",0.85
P605,GEOGRAPHIC,POLITICAL,"NUTS codes - European administrative geography",0.85
P606,TECHNOLOGICAL,,"First flight date - aviation history",0.80
