place_type_token,row_count,geonames_signal_count,geonames_signal_present,canonical_type_id,canonical_type_label,distinction_root_type_id,distinction_root_type_label,mapping_rule,needs_review,review_bucket,quality_star,quality_star_reason,is_fully_triangulated,wikidata_match_qid,wikidata_match_label,wikidata_match_description,wikidata_type_qids,wikidata_type_labels,wikidata_geo_score,wikidata_geo_matches,wikidata_label_match_strength,wikidata_geo_pids_present,wikidata_geo_pid_count,wikidata_time_pids_present,wikidata_time_pid_count,wikidata_periodo_ids,wikidata_start_time_values,wikidata_end_time_values,wikidata_error
settlement,13190,1916,true,SETTLEMENT,Settlement,SETTLEMENT_TYPE,Settlement Type,exact:settlement,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
unlocated,6479,4,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,exact:unlocated,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
villa,2371,68,true,BUILT_FEATURE,Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:villa,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
label,1772,32,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,exact:label,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
river,1591,86,true,WATER_FEATURE,Water Feature,PHYSICAL_FEATURE,Physical Feature,exact:river,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
fort,1559,90,true,DEFENSIVE_BUILT_FEATURE,Defensive Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:fort,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
people,1457,6,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,exact:people,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
archaeological-site,1404,296,true,ARCHAEOLOGICAL_SITE,Archaeological Site,MAN_MADE_STRUCTURE,Man-Made Structure,exact:archaeological-site,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
station,1402,59,true,TRANSPORT_FEATURE,Transport Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:station,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
road,1032,1,true,TRANSPORT_FEATURE,Transport Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:road,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
unlabeled,987,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,exact:unlabeled,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
settlement-modern,914,187,true,SETTLEMENT,Settlement,SETTLEMENT_TYPE,Settlement Type,exact:settlement-modern,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
cemetery,889,39,true,ARCHAEOLOGICAL_SITE,Archaeological Site,MAN_MADE_STRUCTURE,Man-Made Structure,exact:cemetery,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
temple-2,780,45,true,SACRED_BUILT_FEATURE,Sacred Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:temple-2,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
island,775,165,true,LAND_FEATURE,Land Feature,PHYSICAL_FEATURE,Physical Feature,exact:island,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
sanctuary,699,74,true,SACRED_BUILT_FEATURE,Sacred Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:sanctuary,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
bridge,696,6,true,TRANSPORT_FEATURE,Transport Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:bridge,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
fort-2,669,93,true,DEFENSIVE_BUILT_FEATURE,Defensive Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:fort-2,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
mountain,644,31,true,LAND_FEATURE,Land Feature,PHYSICAL_FEATURE,Physical Feature,exact:mountain,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
region,525,43,true,REGION,Region,SETTLEMENT_TYPE,Settlement Type,exact:region,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
feature,448,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,exact:feature,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
tomb,436,15,true,ARCHAEOLOGICAL_SITE,Archaeological Site,MAN_MADE_STRUCTURE,Man-Made Structure,exact:tomb,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
cape,408,15,true,LAND_FEATURE,Land Feature,PHYSICAL_FEATURE,Physical Feature,exact:cape,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
unknown,404,7,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,exact:unknown,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
aqueduct,381,3,true,TRANSPORT_FEATURE,Transport Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:aqueduct,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
findspot,356,40,true,ARCHAEOLOGICAL_SITE,Archaeological Site,MAN_MADE_STRUCTURE,Man-Made Structure,exact:findspot,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
church,350,18,true,SACRED_BUILT_FEATURE,Sacred Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:church,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
monument,344,17,true,BUILT_FEATURE,Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:monument,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
mine-2,304,3,true,BUILT_FEATURE,Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:mine-2,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
bath,299,28,true,BUILT_FEATURE,Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:bath,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
tumulus,291,5,true,ARCHAEOLOGICAL_SITE,Archaeological Site,MAN_MADE_STRUCTURE,Man-Made Structure,"wikidata:Q34023:tomb,tumulus",false,AUTO_MAPPED,silver_star,federated_partial_missing_leg_or_time,false,Q34023,tumulus,mound of earth and stones raised over graves,Q20529645|Q24457356|Q2593777|Q381885|Q6023295,burial mound|historiographical concept|grave field|tomb|funerary structure,2,"tomb,tumulus",3,,0,,0,,,,
church-2,283,20,true,SACRED_BUILT_FEATURE,Sacred Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,heuristic:sacred_keyword,false,AUTO_MAPPED,silver_star,canonical_heuristic_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
quarry,280,7,true,BUILT_FEATURE,Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,"wikidata:Q188040:mine,quarry",false,AUTO_MAPPED,silver_star,federated_partial_missing_leg_or_time,false,Q188040,quarry,"place from which dimension stone, rock, construction aggregate etc. has been excavated from the ground",Q113594123|Q12529452|Q137735409,surface mine|human-made landform|type of mining site,2,"mine,quarry",3,,0,,0,,,,
theatre,274,26,true,BUILT_FEATURE,Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,"wikidata:Q24354:building,theatre",false,AUTO_MAPPED,silver_star,federated_partial_missing_leg_or_time,false,Q24354,theatre building,building for performances by actors,Q114961210|Q2310313|Q57660343,cultural building|theatre venue|performing arts building,2,"building,theatre",2,,0,,0,,,,
port,266,103,true,TRANSPORT_FEATURE,Transport Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:port,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
numbered feature,265,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,LOW_SIGNAL_SKIP_REVIEW,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
temple,254,3,true,SACRED_BUILT_FEATURE,Sacred Built Feature,MAN_MADE_STRUCTURE,Man-Made Structure,exact:temple,false,AUTO_MAPPED,silver_star,canonical_exact_without_wikidata_identity,false,,,,,,0,,0,,0,,0,,,,
