relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,score,confidence,query_used,match_type,review_status
DERIVED_FROM,Application,Material extracted or derived from source organism,1,P5191,derived from lexeme,most direct lexeme(s) this one has developed from,0.602,low,derived from,label,pending_review
DERIVED_FROM,Application,Material extracted or derived from source organism,2,P12571,derived from base unit,the base unit(s) that this derived unit is derived from,0.572,low,derived from,label,pending_review
DERIVED_FROM,Application,Material extracted or derived from source organism,3,P9072,derived from organism type,the taxon that the organism from which the subject cell line was derived belonged to (different from found in taxon (P703) because cell lines are derived only once from a single individual),0.487,low,derived from,label,pending_review
ANALYZES,Attribution,Citation provides analysis of entity,1,P3176,uses property,"Wikidata property used, discussed, or otherwise analyzed in this work (not the meaning of the property itself)",0.115,low,analyzes,alias,pending_review
ATTRIBUTED_TO,Attribution,Citation attributed to author,1,P1779,possible creator,for a creative work with considerable uncertainty about the author,0.132,low,attributed,alias,pending_review
DESCRIBES,Attribution,Citation describes entity/event,1,P12027,describes actor of,predicate sense whose actor (an agent or a cause—basically the instigator of an action) is denoted by this sense,0.489,low,describes,label,pending_review
DESCRIBES,Attribution,Citation describes entity/event,2,P12028,describes undergoer of,"predicate sense whose undergoer (a patient, a theme, or a recipient—basically a non-instigator of an action) is denoted by this sense",0.441,low,describes,label,pending_review
DESCRIBES,Attribution,Citation describes entity/event,3,P4510,describes a project that uses,essential component or tool that was used in this project,0.392,low,describes,label,pending_review
EXTRACTED_FROM,Attribution,Citation extracted from work,1,P7009,extracted from,source this image was cropped from. Use on Wikimedia Commons only.,0.720,medium,extracted from,label,pending_review
QUOTES,Attribution,Citation is direct quote from source,1,P6166,quotes work,"other creative work which this work quotes from textually, verbally or lyrically",0.523,low,quotes,label,pending_review
QUOTES,Attribution,Citation is direct quote from source,2,P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'",0.169,low,quotes,alias,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,1,P88,commissioned by,person or organization that commissioned this work,0.660,medium,commissioned,label,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,2,P9883,created for,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)",0.152,low,commissioned,alias,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,3,P729,service entry,date or point in time on which a piece or class of equipment entered operational service,0.099,low,commissioned,alias,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,1,P88,commissioned by,person or organization that commissioned this work,0.787,medium,commissioned by,label,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,2,P9883,created for,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)",0.169,low,commissioned,alias,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,3,P729,service entry,date or point in time on which a piece or class of equipment entered operational service,0.107,low,commissioned,alias,pending_review
INFERIOR_TO,Comparative,Type is inferior to another type,1,P5136,less than,"instances of the item have a lesser value than corresponding instances of the object, for the given measure",0.129,low,inferior,alias,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,1,P7604,supervised by,natural person who has the authority of giving instructions and/or orders to subordinates and is held responsible for the work and actions of subordinates,0.345,low,superior,alias,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,2,P749,parent organization or unit,"parent organization or unit of an organization or unit, opposite of child organization or unit (P355); use instance of (P31) to distinguish organization (Q43229) and organization unit (Q10387680)",0.239,low,superior,alias,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,3,P5135,greater than,"instances of the item have a greater value than corresponding instances of the object, for the given measure",0.162,low,superior,alias,pending_review
EVOLVED_FROM,Cultural,Form evolved from another form,1,P3094,develops from,this class of items develops from another class of items (biology),0.420,low,evolved from,alias,pending_review
HERITAGE_OF,Cultural,Earlier polity is claimed heritage of later group,1,P5094,HPIP ID,"identifier of an entity of Portuguese influence, including geographic/toponymic, onomastic, original author, chronological references, etc.",0.206,low,heritage of,alias,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,1,P9448,introduced on,date when a bill was introduced into a legislature,0.628,low,introduced,label,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,2,P10695,introduced in,work that introduced this concept or feature,0.615,low,introduced,label,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,3,P751,introduced feature,feature introduced by this version of a product item,0.580,low,introduced,label,pending_review
AUNT_OF,Familial,Aunt of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.160,low,aunt,alias,pending_review
BROTHER_IN_LAW,Familial,Person is brother-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.200,low,brother in law,alias,pending_review
BROTHER_IN_LAW_OF,Familial,Brother-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.185,low,brother in law,alias,pending_review
CHILD_OF,Familial,Person is child of parent,1,P40,child,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""kinship to subject"" (P1039)",0.593,low,child,label,pending_review
CHILD_OF,Familial,Person is child of parent,2,P398,child astronomical body,minor body that belongs to the item,0.370,low,child,label,pending_review
CHILD_OF,Familial,Person is child of parent,3,P355,child organization or unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)",0.345,low,child,label,pending_review
COUSIN_OF,Familial,Person is cousin,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.070,low,cousin,alias,pending_review
DAUGHTER_IN_LAW,Familial,Person is daughter-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.143,low,daughter in law,alias,pending_review
DAUGHTER_IN_LAW_OF,Familial,Daughter-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.133,low,daughter in law,alias,pending_review
FATHER_IN_LAW,Familial,Person is father-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.157,low,father in law,alias,pending_review
FATHER_IN_LAW_OF,Familial,Father-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.145,low,father in law,alias,pending_review
GRANDCHILD_OF,Familial,Grandchild of grandparent,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.167,low,grandchild,alias,pending_review
GRANDPARENT_OF,Familial,Grandparent of grandchild,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.159,low,grandparent,alias,pending_review
