qid,current_label,tier,action,reason
Q129167,barracks emperor,2,convert_to_event,Short political crisis
Q329838,Crisis of the Third Century,2,convert_to_event,Military/political crisis period
Q3800893,Barbarian invasion of the 3rd century,2,convert_to_event,Warfare episode
Q15140974,Barbarian invasions of the 4th century,2,convert_to_event,Warfare episode
Q193547,Reign of Terror,2,convert_to_event,1 year political phase
Q474757,Thermidorian Reaction,2,convert_to_event,Short political phase
Q111699632,Black Week,2,convert_to_event,1 week military event
Q190882,Phoney War,2,convert_to_event,Campaign phase of WWII
Q4090708,Boldino autumn,2,convert_to_event,Literary biographical episode
Q23019825,Rehnquist Court,3,delete,Institutional - Supreme Court term
Q111601268,Mayoralty of Dimitris Avramopoulos,3,delete,Institutional - mayoral term
Q28028316,Alfred Nobel Family Archives,3,delete,Archival collection
Q4916863,Birmingham pen trade,3,delete,Local economic/industrial phase
Q107124778,Paris-East law faculty,3,delete,Institutional
Q113206337,Agronomía,3,delete,Unclear institutional
Q12793702,Europe: Classics,4,delete,Discipline not period
Q131433113,Qutux Llyung Topa,4,delete,Suspicious 1400-year span
Q133871248,Medieval Abkhazia,4,delete,1000-year span too vague
Q127237209,Indonesia Q127237209,4,delete,500-year vague span
Q8683,Cold War,4,delete,Global thematic frame - per user request
Q531510,European Civil War,4,delete,Global thematic frame - per user request
Q3073537,American Century,4,delete,Global thematic frame - per user request

