token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Abkhazia,Q31354462,Republic of Abkhazia,state with limited recognition in the Caucasus,Abkhazia;Abkhazian;Abkhazian Autonomous Republic;Abkhazian Autonomous Soviet Socialist Republic,Q171795;Q23334;Q2914461;Q307022;Q307065;Q31354462;Q480161;Q5111;Q918894;Q95674802,2671 Abkhazia;Abkhaz;Abkhaz Autonomous Soviet Socialist Republic;Abkhazia;Abkhazian State University;Abkhazian railway;Abkhazians;Autonomous Republic of Abkhazia;Republic of Abkhazia,"Northwest Caucasian ethnic subgroup of Georgia indigenous to Abkhazia;Northwest Caucasian language native to northwestern Georgia;asteroid;autonomous region in Georgia;disputed territory in the South Caucasus, whose recognition as a country is limited;family name;former autonomous soviet socialist republic of a union republic of the Soviet Union;government-owned company;state with limited recognition in the Caucasus;university in Sukhumi, Abkhazia/Georgia",0.95,"{'type': 'alias', 'language': 'en', 'text': 'Abkhazia'}",Q10711424,state with limited recognition,,,,
Abyssinia,Q207521,Ethiopian Empire,1270–1974 state in the Horn of Africa,Abyssinia;Abyssinia Eyalet;Abyssinian Bruce;Abyssinian Highlands;Abyssinian euphorbia;Abyssinian tea,Q1257890;Q1592836;Q207521;Q207642;Q319288;Q336511;Q348489;Q4670745;Q4670747;Q47003178,Abyssinia;Catha edulis;Ethiopian Empire;Ethiopian Highlands;Euphorbia trigona;Habesh eyalet;James Bruce;SS Abyssinia,"1270–1974 state in the Horn of Africa;African spurge species;British mail liner;Ottoman province;Scottish explorer and botanist (1730–1794);battle honour;fictional place from the My Little Pony universe;mountain range in East Africa;musical;species of plant, commonly used by humans for its psychoactive effects",0.95,"{'type': 'alias', 'language': 'en', 'text': 'Abyssinia'}",Q3024240,historical country,,,,
Aegean,Q21159989,Aegean,album by Savage Republic,Aegean League,Q15753080;Q21159989;Q244796;Q2494192;Q34575;Q380567;Q380580;Q48792901;Q7957;Q878481,Achaean League;Aegean;Aegean Airlines;Aegean Archaeology;Aegean Captain;Aegean Islands;Aegean Numbers;Aegean Sea;Aegean cat,"Flag carrier airline of Greece;Hellenistic-era confederation of Greek city states;UK record label co-founded by George Michael;Unicode block (U+10100-1013F);academic journal;album by Savage Republic;cat breed;islands in the Aegean sea;part of the Mediterranean Sea, between the Greek mainland, the Turkish mainland, Crete, and Rhodes;ship built in 1968",1.0,"{'type': 'label', 'language': 'en', 'text': 'Aegean'}",Q482994,album,,,,
Afghanistan,Q889,Afghanistan,country in Central and South Asia,Afghanistan;Afghanistan Campaign;Afghanistan flag;Afghanistani,Q100256349;Q1138904;Q16007968;Q182865;Q192966;Q27715795;Q3088667;Q79874;Q86477;Q889,Afghanistan;Afghanistan men's national football team;Afghanistan national cricket team;Afghanistan–Tajikistan border;Afghans;Kingdom of Afghanistan;War in Afghanistan (2001–2021);flag of Afghanistan,academic journal;armed conflict between NATO countries and Afghanistan since 2001;citizens or residents of Afghanistan;country in Central and South Asia;episode of Førstegangstjenesten (S1 E12);international border between Afghanistan and Tajikistan;kingdom in Central Asia between 1926–1973;men's national association football team representing Afghanistan;national flag of the Islamic Emirate of Afghanistan;national sports team,1.0,"{'type': 'label', 'language': 'en', 'text': 'Afghanistan'}","Q123480,Q3624078,Q6256","country,landlocked country,sovereign state",,,,
Afghanistan north of the Hindu Kush,,,,,,,,0.0,,,,,,,
Africa,Q15,Africa,continent,Africa South of the Sahara,Q109569182;Q113568798;Q132959;Q15;Q16159116;Q20862705;Q4689536;Q4689921;Q49085;Q6172568,Africa;Africa: Journal of the International African Institute;African Americans;African Plant Database;African Studies;sub-Saharan Africa,;Americans with sub-Saharan African ancestry;academic journal;area of the continent of Africa that lies south of the Sahara Desert;continent;family name;female given name;troopship of the Portuguese Navy;vocal track by Toto; 1982 studio recording,1.0,"{'type': 'label', 'language': 'en', 'text': 'Africa'}","Q2221906,Q5107,Q82794","continent,geographic location,region",,,"Q125965270,Q2,Q2035462,Q27527","Afro-Asia,Afro-Eurasia,Earth,Ostfeste"
Akkad,Q37035704,Akkad,family name,Akkadians (Sumerians),Q150996;Q15753079;Q19903213;Q23851488;Q35355;Q35518;Q37035704;Q4029560;Q419594;Q4461035,Akkad;Akkad period;Akkadian;Akkadian Empire;Akkadians;Akkadica;Sumer,"Region in Mesopotamia;academic journal;ancient Mesopotamian city;ancient Mesopotamian civilization from 5500 to 1800 BC;ancient empire in the Mesopotamia (2334–2154 BC);ancient semitic population;archaeological and historical period in Mesopotamia, c. 2350-2200 BC;article in Otto's encyclopedia;extinct Semitic language of Mesopotamia;family name",1.0,"{'type': 'label', 'language': 'en', 'text': 'Akkad'}",Q101352,family name,,,,
Al-Ain,Q130613804,Al-Ain,,,Q115573767;Q117064916;Q12193915;Q130613804;Q234600;Q23773622;Q2617900;Q30926318;Q54965476;Q812720,Al Ain;Al Ain FC;Al Ain News;Al-Ain;Al-Ain FC;Al-Ain Region,";Emirati association football club;Emirati newspaper;Japanese-bred Thoroughbred racehorse;bulk carrier built in 1994;city in United Arab Emirates;is a Saudi Arabian professional association football club based in, Al Bahah.;place in United Arab Emirates;tug boat built in 2002",1.0,"{'type': 'label', 'language': 'en', 'text': 'Al-Ain'}",Q15720476,volleyball team,,,,
Alabama,Q173,Alabama,state of the United States of America,Alabama;Alabama Polytechnic Institute,Q173;Q1815020;Q2140332;Q4705177;Q4705216;Q492318;Q540672;Q558643;Q558657;Q971195,Alabama;Alabama 3;Alabama Crimson Tide;Alabama Crimson Tide football;Alabama River;Auburn University;University of Alabama,"American musical group; country music band;British musical group;University of Alabama Football Team;genus of insects;intercollegiate sports teams of the University of Alabama;language spoken by the Alabama-Coushatta tribe;public university in Auburn, Alabama, United States;public university located in Tuscaloosa, Alabama, United States;river in Alabama, United States;state of the United States of America",1.0,"{'type': 'label', 'language': 'en', 'text': 'Alabama'}",Q35657,U.S. state,,,Q578170,contiguous United States
Alagoas (Brazil,,,,,,,,0.0,,,,,,,
Alaska,Q797,Alaska,state of the United States of America,Alaska Daylight Time,Q117090096;Q1199942;Q122353711;Q122835287;Q136048154;Q156684;Q16029552;Q2204;Q23851809;Q797,ALASKA;Alaska;Alaska Range;Alaska Thunderfuck 5000;UTC−08:00,"2018 video game;American drag queen and recording artist;Spanish and Mexican singer, songwriter and actress;article in Otto's encyclopedia;family name;given name;identifier for a time offset from UTC of −8;mountain range in Alaska, United States;state of the United States of America;village in Kankaanpää, Finland",1.0,"{'type': 'label', 'language': 'en', 'text': 'Alaska'}","Q35657,Q933394","U.S. state,exclave",,,Q55416584,continental United States
Alba County,Q45868,Alba County,county in Romania,Alba County COVID-19 pandemic,Q104720252;Q12731452;Q42522610;Q45868;Q81181633;Q89484732;Q89588509,Alba County;Alba County Branch of National Archives;Alba County Council;Alba County School Inspectorate;Alba County councillor;COVID-19 pandemic in Alba County,";archival institution in Romania;county in Romania;county of the Kingdom of Romania;elected assembly of Alba County, Romania;heritage site in Alba County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Alba County'}",Q1776764,county of Romania,,,,
Albania,Q222,Albania,country in southeastern Europe,,Q1048340;Q107182203;Q1576577;Q1655535;Q179248;Q186262;Q208533;Q222;Q3607867;Q8748,Albania;Albania men's national football team;Albanian;Albanian Kingdom;Albanian Wikipedia;Albanians,"Albanian-language edition of Wikipedia;Colombian municipality of the department of Caquetá;Colombian municipality of the department of Santander;Indo-European language, spoken primarily in Albania, Kosovo, North Macedonia, and Montenegro;citizens or residents of Albania and ethnic group;country in southeastern Europe;family name;genus of molluscs;men's national football team representing Albania;period in 20th century Albanian history",1.0,"{'type': 'label', 'language': 'en', 'text': 'Albania'}","Q3624078,Q6256","country,sovereign state",,,,
Algeria,Q262,Algeria,country in North Africa,Algeria;Algerian National Liberation Front;Algerian commune;Algerian provinces,Q137048;Q181903;Q200790;Q204543;Q240601;Q262;Q2989398;Q3088696;Q3561;Q56499,1213 Algeria;Algeria;Algeria men's national football team;Algerian Arabic;Algerian War;Algeria–Niger border;Algiers;National Liberation Front;commune of Algeria;province of Algeria,Maghrebi dialect of the Arabic language spoken in Algeria;administrative division of Algeria;asteroid;capital city of Algeria;country in North Africa;international border;men's national football team of Algeria;political party in Algeria;type of administrative entity;war between France and the Algerian independence movement from 1954 to 1962,1.0,"{'type': 'label', 'language': 'en', 'text': 'Algeria'}","Q3624078,Q465613,Q51576574,Q6256","Mediterranean country,country,people's republic,sovereign state",,,"Q143487,Q27381,Q779924","Arab world,Muslim world,North Africa"
