qid,has_lcc,has_lcsh,has_fast,has_dewey,has_worldcat_entities,has_oclc,has_worldcat_any,has_trismegistos_geo,has_trismegistos_text,has_trismegistos_author,has_trismegistos_god,has_trismegistos_any
Q1001533,false,false,false,false,false,false,false,false,false,false,false,false
Q1001544,false,false,false,false,false,false,false,false,false,false,false,false
Q100188,false,true,true,false,true,false,true,false,false,false,false,false
Q100349105,false,false,false,false,false,false,false,false,false,false,false,false
Q1003997,false,false,false,false,false,false,false,true,false,false,false,true
Q1004205,false,false,false,false,false,false,false,true,false,false,false,true
Q1005769,false,false,false,false,false,false,false,false,false,false,false,false
Q1006311,false,true,false,false,false,false,false,false,false,false,false,false
Q1006552,false,true,false,false,false,false,false,false,false,false,false,false
Q1006561,false,false,false,false,false,false,false,false,false,false,false,false
Q1007550,false,false,false,false,false,false,false,false,false,false,false,false
Q1009261,false,true,false,false,true,false,true,false,false,false,false,false
Q1011003,false,true,false,false,false,false,false,false,false,false,false,false
Q1011544,false,true,true,false,true,false,true,false,false,false,false,false
Q1012,false,true,false,false,true,false,true,false,false,false,false,false
Q1012797,false,true,false,false,false,false,false,true,false,false,false,true
Q1012824,false,true,false,false,false,false,false,false,false,false,false,false
Q1013831,false,false,false,false,false,false,false,true,false,false,false,true
Q1015386,false,true,false,false,false,false,false,false,false,false,false,false
Q101583,false,true,false,false,false,false,false,false,false,false,false,false
Q1017,false,true,true,true,true,false,true,false,false,false,false,false
Q1018150,false,false,false,false,false,false,false,false,false,false,false,false
Q1018156,false,true,false,false,false,false,false,false,false,false,false,false
Q1018197,false,true,false,false,false,false,false,true,false,false,false,true
Q1018648,false,true,true,false,false,false,false,false,false,false,false,false
Q1018884,false,false,false,false,true,false,true,false,false,false,false,false
Q101948176,false,false,false,false,false,false,false,false,false,false,false,false
Q1020559,false,true,true,false,false,false,false,false,false,false,false,false
Q1020853,false,false,false,false,false,false,false,false,false,false,false,false
Q1021606,false,false,false,false,false,false,false,false,false,false,false,false
Q1021629,false,false,false,false,false,false,false,false,false,false,false,false
Q1021651,false,false,false,false,false,false,false,false,false,false,false,false
Q1021662,false,true,false,false,false,false,false,false,false,false,false,false
Q1022117,false,true,false,false,true,false,true,true,false,false,false,true
Q1024102,false,true,false,false,false,false,false,false,false,false,false,false
Q1024886,false,false,false,false,false,false,false,false,false,false,false,false
Q1025825,false,false,false,false,false,false,false,false,false,false,false,false
Q1026347,false,false,false,false,false,false,false,true,false,false,false,true
Q1026587,false,false,false,false,false,false,false,false,false,false,false,false
Q1026657,false,true,false,false,false,false,false,false,false,false,false,false
Q1026705,false,false,false,false,false,false,false,false,false,false,false,false
Q1027263,false,true,false,false,false,false,false,false,false,false,false,false
Q1027669,false,false,false,false,false,false,false,false,false,false,false,false
Q1027845,false,false,false,false,false,false,false,false,false,false,false,false
Q10282,false,true,true,false,true,false,true,false,false,false,false,false
Q1030058,false,false,false,false,false,false,false,false,false,false,false,false
Q103011,false,true,true,false,true,false,true,false,false,false,false,false
Q10305,false,true,true,false,true,false,true,false,false,false,false,false
Q10311,false,true,false,false,true,false,true,false,false,false,false,false
Q1031426,false,true,false,false,false,false,false,false,false,false,false,false
Q103305,false,true,true,false,true,false,true,false,false,false,false,false
