category,relationship_type,description,wikidata_property,directionality,parent_relationship,specificity_level,lcc_code,lcsh_heading,fast_id,status,note,source,version,lifecycle_status,reify_as,cidoc_crm_code,cidoc_crm_kind,wikidata_label,crminf_applicable,mapping_source,wikidata_description,wikidata_datatype,wikidata_alt_labels,wikidata_role_qualifier_object_pid,wikidata_role_qualifier_subject_pid
Application,DERIVED_FROM,Material extracted or derived from source organism,,forward,,1,T,Technology,1145002,active,Material extraction from biological source,discovery_schema,1.0,candidate,,,,,false,,,,,,
Application,DERIVES_MATERIAL,Source organism used to derive material,,inverse,,1,T,Technology,1145002,active,Inverse of DERIVED_FROM,discovery_schema,1.0,candidate,,,,,false,,,,,,
Application,DYED_BY,Dye used to dye object,,inverse,,1,T,Technology,1145002,active,Inverse of DYED_WITH,discovery_schema,1.0,candidate,,,,,false,,,,,,
Application,DYED_WITH,Object dyed with dye or pigment,,forward,,1,T,Technology,1145002,active,Dyeing/tinting relationship,discovery_schema,1.0,candidate,,,,,false,,,,,,
Application,MATERIAL_IN,Material used in,P186,inverse,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented,PROPERTY,P45_consists_of,PROPERTY,made from material,false,relationship_types_seed.cypher,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),wikibase-item,medium | made from | constructed from | constructed out of | construction material | media | built from | built out of | manufactured from | manufactured out of | crafted from | crafted out of | formed from | formed out of | made of | ore | source material | raw material | feedstock | reactant | ingredient | ingredients | made in | be made in | material used | made of material,,
Application,MATERIAL_USED,Made from,P186,forward,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented,PROPERTY,P45i_is_incorporated_in,PROPERTY,made from material,false,relationship_types_seed.cypher,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),wikibase-item,medium | made from | constructed from | constructed out of | construction material | media | built from | built out of | manufactured from | manufactured out of | crafted from | crafted out of | formed from | formed out of | made of | ore | source material | raw material | feedstock | reactant | ingredient | ingredients | made in | be made in | material used | made of material,,
Application,PRODUCED_IN,Material produced or manufactured in location,,forward,,1,T,Technology,1145002,active,Production location for materials,discovery_schema,1.0,candidate,,,,,false,,,,,,
Application,PRODUCES_MATERIAL,Location produces this material,,inverse,,1,T,Technology,1145002,active,Inverse of PRODUCED_IN,discovery_schema,1.0,candidate,,,,,false,,,,,,
Application,USE,Used for,P366,forward,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented,PROPERTY,P101_had_as_general_use,PROPERTY,has use,false,relationship_types_seed.cypher,main use of the subject (includes current and former usage),wikibase-item,function | role | mission | purpose | utility | used for | used in | usage | used as | as | unit mission | use | can be used for | has purpose | has function | had use | have use | for,,
Application,USED_BY,Used by entity,P366,inverse,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented,PROPERTY,P101i_was_use_of,PROPERTY,has use,false,relationship_types_seed.cypher,main use of the subject (includes current and former usage),wikibase-item,function | role | mission | purpose | utility | used for | used in | usage | used as | as | unit mission | use | can be used for | has purpose | has function | had use | have use | for,,
