pid,propertyLabel,propertyDescription,datatype,occurrences,file_count,sample_files,in_catalog
P1,,,,52,9,FAST\FASTTopical.marcxml | Geographic\TERM.out | Neo4j\schema\03_schema_initialization.cypher | Python\fast\key\FASTTopical_parsed.csv | Python\import_roman_republic_subgraph.py,no
P2,,,,171,7,CIDOC\CRMinf_v0.7_.rdfs.txt | FAST\FASTTopical.marcxml | Neo4j\schema\03_schema_initialization.cypher | Python\fast\key\FASTTopical_parsed.csv | Python\import_roman_republic_subgraph.py,no
P3,,,,426,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P4,,,,490,10,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | LCSH\skos_subjects\chunks\subjects_chunk_52.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld,no
P5,,,,493,7,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_51.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld | LCSH\skos_subjects\subjects_full_valid.jsonld,no
P6,head of government,"head of the executive power of this town, city, municipality, state, country, or other governmental body",wikibase-item,368,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P06,,,,1,1,Subjects\sample_token_qid_enriched.csv,no
P7,,,,1218,5,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Python\fast\key\FASTTopical_parsed.csv | md\Architecture\CIDOC-CRM_Alignment_Summary.md | md\Architecture\CIDOC-CRM_Wikidata_Alignment_Strategy.md,no
P8,,,,354,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P9,,,,276,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P10,video,"relevant video; use property P18 for images; for film trailers, qualify with ""object has role"" (P3831)=""trailer"" (Q622550); for films, qualify with ""object has role"" (P3831)=""full video available on Wikimedia Commons"" (Q89347362)",commonsMedia,1,1,Geographic\TERM.out,yes
P11,,,,5,4,Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | md\Architecture\CIDOC-CRM_Alignment_Summary.md | md\Architecture\CIDOC-CRM_Wikidata_Alignment_Strategy.md | md\CIDOC\CIDOC-CRM_Explanation.md,no
P13,,,,1,1,Geographic\SOURCE.out,no
P14,traffic sign,"graphic symbol describing the item, used at the side of or above roads to give instructions or provide information to road users",commonsMedia,21,10,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | LCSH\skos_subjects\chunks\subjects_chunk_26.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld,yes
P15,route map,image of route map at Wikimedia Commons,commonsMedia,23,4,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\FEDERATION_BACKLINK_STRATEGY.md | Python\fast\key\FASTTopical_parsed.csv,yes
P16,transport network,network the infrastructure is a part of,wikibase-item,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P17,country,sovereign state that this item is in (not to be used for human beings),wikibase-item,207,17,FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Python\explore_wikidata_periods.py | Python\fast\key\FASTTopical_parsed.csv,yes
